,Property type,Furnished,Shareable,Elevator,Balcony,Parking,Dishwasher,Washing machine,Dryer,Deposit,Creation Date,Move-in price,Utilities,Rental period,Size,Rooms,Monthly net rent,Areas,Sub_title,Pets allowed,Senior friendly
0,Apartment,No,No,No,Yes,Yes,Not specified,Yes,Not specified,31.800 kr.,04/09/2024,43.000 kr.,600 kr.,24+ months,64 m²,2,10.600 kr.,"Geelskovparken, 2830 København, Virum  - 1st floor",2V Virum ved skov,Yes,No
1,Apartment,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100.500 kr.,03/07/2024,169.000 kr.,1.500 kr.,Unlimited,140 m²,3,33.500 kr.,"Drechselsgade, 2300 København, København S  - 6th floor",Penthouse over Bryggen uden bopælspligt!,Yes,Yes
2,Apartment,No,No,Yes,Yes,Yes,Yes,Yes,Yes,32.850 kr.,08/03/2024,55.500 kr.,750 kr.,Unlimited,65 m²,2,10.950 kr.,"Torvestrædet, 2740 København, Skovlunde  - 2nd floor",Ny 2-værelses lejlighed i Skovlunde Bymidte,Yes,No
3,Apartment,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,44.100 kr.,11/09/2024,59.800 kr.,1.000 kr.,Unlimited,112 m²,3,14.700 kr.,"Vallensbæk Stationstorv, 2665 København, Vallensbæk Strand  - 2nd floor",Rummelig og lys 3-værelses lejlighed med unikke fællesfaciliteter.,Yes,No
4,Apartment,No,No,No,No,No,Not specified,Not specified,Not specified,41.850 kr.,11/09/2024,56.300 kr.,500 kr.,Unlimited,71 m²,2,13.950 kr.,"Bomhusvej, 2100 København, København Ø  - 3rd floor",Nybygget lys lejlighed i populært område,No,No
5,Apartment,No,Yes,Yes,Yes,Yes,Yes,No,No,48.216 kr.,11/09/2024,81.160 kr.,800 kr.,Unlimited,103 m²,3,16.072 kr.,"Strandslodsvej, 2300 København, København S  - 6th floor",Skøn treværelses med altan,Yes,Yes
6,Apartment,No,No,No,No,No,Yes,Yes,Yes,52.650 kr.,11/09/2024,123.650 kr.,800 kr.,Unlimited,108 m²,3,17.550 kr.,"Århusgade, 2100 København, København Ø  - 3rd floor","Lys, skøn 3 værelses lejlighed med flot udsigt",No,No
7,Apartment,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,43.350 kr.,11/09/2024,72.950 kr.,700 kr.,Unlimited,85 m²,3,14.450 kr.,"Lindgreens Allé, 2300 København, København S  - 3rd floor",Supperlækker lejlighed centralt på Amager,Yes,Yes
8,Apartment,No,No,Yes,Yes,No,Not specified,Yes,Yes,26.850 kr.,11/09/2024,45.150 kr.,400 kr.,Unlimited,33 m²,1,8.950 kr.,"Hermodsgade, 2200 København, København N  - 2nd floor",Lys og rummelig 1-værelses lejlighed på Nørrebro udlejes!,No,No
9,Apartment,No,No,Yes,Yes,Yes,Yes,Yes,No,30.600 kr.,11/09/2024,51.750 kr.,750 kr.,Unlimited,75 m²,2,10.200 kr.,"Sejlbjerg Allé, 2640 København, Hedehusene  - 1st floor",2V terrasse ud t grønt område,Yes,Yes
10,Apartment,No,No,Yes,Yes,Yes,Yes,Yes,Yes,36.000 kr.,11/09/2024,60.769 kr.,769 kr.,Unlimited,71 m²,2,12.000 kr.,"Snedkerhaven, 2650 København, Hvidovre  - 2nd floor",Arkitektoniske kvalitetslejligheder med enestående beliggenhed,Yes,No
11,Room,No,No,No,No,No,Not specified,Not specified,Not specified,5.000 kr.,11/09/2024,16.299 kr.,600 kr.,1-11 months,34 m²,1,5.699 kr.,"Betzy Meyers Høj, 2750 København, Ballerup  - Ground floor",Studio Apartment w/ Private Kitchen and Bathroom,No,No
